supplier_id,suplier_name,service_zips,product_categories,customer_satisfaction_score,can_mail_order?
SUP-073,Respiratory Care Co,10479-10533,"cervical collar, patient lift, blood pressure monitor, rollator, glucose meter, hospital bed, traction device, shower chair, nebulizer, CPAP",no ratings yet,y
SUP-074,LifeStyle Medical Depot,90064-90110,"wheelchair, back brace, ankle brace, traction device",7,n
SUP-075,Summit Health Equipment Inc,11221-11248,"heating pad, tens unit, compression stockings, nebulizer, commode",no ratings yet,y
SUP-076,HomeHealth Supply,"19106, 19111, 19112, 19114, 19120, 19125, 19128, 19129, 19147, 19151, 19153, 19157",glucose meter,9,y
SUP-077,Mobility Solutions,19156-19236,"back brace, blood pressure monitor, ankle brace, ice machine, traction device, heating pad",6,y
SUP-078,Metropolitan Medical Inc,"11354, 11367, 11373, 11377, 11381, 11395, 11424","compression stockings, ice machine, nebulizer, CPAP, blood pressure monitor",no ratings yet,y
SUP-079,Accessible Living Inc,"90009, 90016, 90021, 90022, 90040, 90046, 90050, 90053, 90054, 90069, 90078, 90084, 90093",patient lift,5,y
SUP-080,Wellness Medical Warehouse,10235-10323,"knee scooter, back brace, traction device, cervical collar, hospital bed, heating pad, glucose meter, commode, crutches, tens unit, CPM machine",no ratings yet,y
SUP-081,American DME Center,00100-99999,"cervical collar, rollator, back brace, crutches, cane, glucose meter, shower chair, traction device, heating pad, walker",10,y
SUP-082,Rehab Equipment Inc LLC,"77002, 77021, 77023, 77029, 77031, 77033, 77066, 77070, 77071, 77081, 77083, 77084, 77098","nebulizer, oxygen",8,n
SUP-083,Liberty Medical Supply Co,"77087-77111, 77075-77103",CPAP,6,n
SUP-084,Senior Care Supply Co,"19106, 19112, 19121, 19126","ankle brace, traction device, hospital bed",6,y
SUP-085,Express Medical Inc,"11209, 11213, 11217, 11220, 11234, 11249, 11250, 11254, 11259","CPM machine, cane, hospital bed, glucose meter, ice machine, rollator, heating pad, compression stockings",5,y
SUP-086,United Health Supply Warehouse,"77053, 77055, 77070, 77075, 77085, 77098","cane, ice machine, blood pressure monitor, walker, oxygen, patient lift, heating pad, shower chair",10,y
SUP-087,MedEquip Depot Inc,10052-10106,"CPM machine, shower chair, CPAP",10,y
SUP-088,Accessible Living Co,11405-11492,compression stockings,6,y
SUP-089,Evergreen Medical & Associates,19152-19232,"CPM machine, oxygen, cane, tens unit",9,n
SUP-090,MedEquip Depot Center,"10454, 10456, 10458, 10463, 10468, 10477","cervical collar, commode, back brace, heating pad, tens unit, ice machine, CPM machine, blood pressure monitor, glucose meter, ankle brace, CPAP",5,n
SUP-091,Regional DME Co,11224-11287,"traction device, tens unit, walker, hospital bed, heating pad",10,y
SUP-092,LifeStyle Medical,"11210-11236, 11211-11237, 11227-11274","wheelchair, ice machine",10,n
SUP-093,Mountain Medical Co,"2102, 2105, 2107, 2117, 2119, 2132, 2139, 2140, 2145, 2147, 2154, 2194","patient lift, glucose meter, back brace, ice machine, shower chair, knee scooter, cervical collar, crutches, wheelchair, traction device",10,n
SUP-094,Prairie Health Supply Center,"10454, 10459, 10463, 10474, 10477, 10478","cervical collar, shower chair, compression stockings, knee scooter, crutches, back brace, CPAP, hospital bed, heating pad, glucose meter, blood pressure monitor, patient lift",7,y
SUP-095,River City Medical Center,19131-19207,"rollator, traction device, ice machine",6,n
SUP-096,Mobility Solutions,"2103, 2125, 2132, 2133, 2136, 2139, 2141, 2143, 2144, 2153, 2157, 2170, 2173","hospital bed, ankle brace, compression stockings, oxygen, ice machine, tens unit, knee scooter, nebulizer, back brace, walker",6,y
SUP-097,Accessible Living Depot,11396-11488,"CPAP, ankle brace",6,y
SUP-098,Respiratory Care Co Warehouse,"60644-60682, 60632-60652","oxygen, rollator, cervical collar, traction device, glucose meter, commode, patient lift",7,y
SUP-099,Community Care Equipment Co,90002-90053,"glucose meter, wheelchair, tens unit, ankle brace, traction device, knee scooter, ice machine, cervical collar, blood pressure monitor, walker",5,y
SUP-100,Beacon Medical Depot,2114-2212,"crutches, cervical collar, compression stockings, CPM machine, commode",5,y
SUP-T001,Sentinel Exclusive Local,00001,wheelchair,9.0,n
SUP-T002,Sentinel Mail-Only High,00002,wheelchair,10.0,y
SUP-T003,Sentinel Tiebreak A,00003,cane,8.0,n
SUP-T004,Sentinel Tiebreak B,00003,cane,8.0,n
SUP-T005,Sentinel Local Pref,00005,walker,10.0,n
SUP-T006,Sentinel Mail Competitor,00006,walker,10.0,y
SUP-T007,Sentinel Consolidation Generalist,00007,"wheelchair, cane, walker",6.0,n
SUP-T008,Sentinel Specialist Wheelchair,00007,wheelchair,10.0,n
SUP-T009,Sentinel Specialist Cane,00007,cane,10.0,n
SUP-T010,Sentinel Specialist Walker,00007,walker,10.0,n
SUP-T011,Sentinel Unrated Pool A,00040,rollator,no ratings yet,n
SUP-T012,Sentinel Unrated Pool B,00040,rollator,no ratings yet,n
SUP-T013,Sentinel Mail-Only CPM,00100-99999,cpm machine,8.0,y
SUP-T014,Sentinel No-Coverage Control,00098,wheelchair,5.0,n
SUP-0115,DME Medical Source #115,"2320, 10179, 10210, 10286, 90014, 90190","blood pressure monitor, compression stockings",5.5,n
SUP-0116,Vital Mobility Group #116,"10014, 60699, 60868, 77020, 77028, 77271, 90234","cane, blood pressure monitor, hospital bed, heating pad",5.8,n
SUP-0117,Health Homecare Plus #117,2141-2221,"rollator, compression stockings, walker, blood pressure monitor",no ratings yet,y
SUP-0118,National Health Network #118,"2132, 60781, 77271, 90106","heating pad, wheelchair, compression stockings, cpm machine, blood pressure monitor, commode, patient lift",7.8,n
SUP-0119,Vital Supply Depot #119,"2226, 2365, 10066, 10115, 10136, 60647, 60649, 60813, 60824, 77134, 77137, 77171, 77250, 90147, 90275","cervical collar, cpm machine, wheelchair, cpap, patient lift, shower chair, walker, ice machine, hospital bed",8.3,n
SUP-0120,Home Therapeutics Plus #120,"10225, 77015, 90090",traction device,8.4,n
SUP-0121,QuickMed Solutions Express #121,"10059-10103, 90117, 60699, 10229","knee scooter, ankle brace, wheelchair",7.6,y
SUP-0122,QuickMed Ortho Inc #122,10153-10244,"cervical collar, heating pad, commode",7.3,y
SUP-0123,Pacific Wellness Co #123,"2199, 2365, 10119, 10162, 10176, 60632, 77192, 77195","cervical collar, wheelchair, traction device, nebulizer, patient lift, commode, cpm machine, oxygen, ice machine, cane",5.2,n
SUP-0124,Prime Homecare Corp #124,"2101, 2128, 2263, 2338, 10044, 10132, 10248, 60695, 60767, 77162, 77209, 90009, 90135","ankle brace, blood pressure monitor, walker",7.4,n
SUP-0125,Med Therapeutics Group #125,"2172, 2308, 2373, 2384, 10271, 60836, 77091, 77140, 77199, 90286",traction device,10.0,n
SUP-0126,ProCare Prosthetics Source #126,"2122, 2302, 10125, 10202, 10224, 10288, 60697, 60827, 77091, 77094, 77211, 90128, 90296","knee scooter, cpap, blood pressure monitor, patient lift",no ratings yet,n
SUP-0127,Vital Prosthetics Co #127,"77086-77122, 2189, 77139, 60824, 10121",ankle brace,6.7,n
SUP-0128,Central Homecare Source #128,"90250-90269, 60610, 77147","wheelchair, patient lift, back brace, glucose meter, traction device, shower chair, nebulizer, oxygen, commode, ankle brace, cpm machine, rollator, blood pressure monitor, hospital bed, crutches, tens unit, cane, cpap, knee scooter, cervical collar",9.6,n
SUP-0129,Sunrise Health Direct #129,90268-90318,"traction device, walker, glucose meter, cpap, cpm machine, hospital bed, cervical collar, crutches, knee scooter, commode, rollator, back brace, ankle brace, tens unit",6.4,n
SUP-0130,QuickMed Solutions Inc #130,"10126-10159, 77025, 2101, 2316","tens unit, oxygen, ankle brace, patient lift, crutches, cane, cervical collar, cpm machine, rollator, knee scooter",no ratings yet,n
SUP-0131,Allied Solutions Hub #131,"2204, 2239, 10105, 77118, 77216, 77242, 90103, 90212",ice machine,6.7,y
SUP-0132,Pacific Ortho Inc #132,60683-60749,"patient lift, ankle brace, cane, blood pressure monitor, walker",4.3,n
SUP-0133,Home Mobility Inc #133,00100-99999,"heating pad, compression stockings",6.2,n
SUP-0134,Atlantic Ortho Express #134,"2180-2205, 77064, 60847",wheelchair,7.3,n
SUP-0135,Metro Solutions Inc #135,10196-10210,"compression stockings, knee scooter, heating pad, crutches, cpap, shower chair, ankle brace",5.5,y
SUP-0136,Allied Prosthetics LLC #136,"60780-60822, 90196, 2302, 60681, 10057",cpm machine,8.1,y
SUP-0137,Central Services Source #137,2362-2386,"cpm machine, back brace, walker",6.7,n
SUP-0138,Vital Products Source #138,"77187-77224, 90165","glucose meter, traction device, cane, crutches, oxygen, tens unit, ice machine, wheelchair, hospital bed, heating pad, cervical collar, cpm machine, blood pressure monitor, walker, compression stockings, rollator, knee scooter, patient lift, nebulizer, cpap",7.6,y
SUP-0139,Elite Devices Depot #139,"2109, 2173, 2250, 2259, 10174, 77049, 77139, 77283, 90154, 90188","glucose meter, blood pressure monitor, cpap, crutches, traction device, compression stockings, cervical collar, ankle brace, back brace, cane",5.9,n
SUP-0140,Med Wellness Direct #140,"90100-90134, 60821, 77201, 77004, 90148","ice machine, cpap, commode, oxygen, knee scooter, back brace",7.7,y
SUP-0141,ProCare Products Express #141,"90163-90201, 90278, 2237, 60876, 2326, 2117","knee scooter, cpm machine, cpap, tens unit, walker, oxygen, nebulizer, traction device, shower chair",6.6,n
SUP-0142,Metro Solutions Partners #142,"10132, 10166, 10284, 60787, 60852, 77010, 77014, 77140, 77175, 90226, 90251","ice machine, back brace, compression stockings, hospital bed, rollator",10.0,n
SUP-0143,FirstChoice Medical Partners #143,"2203, 2306, 2322, 60861, 60895, 77151, 77153, 77260, 90040","glucose meter, traction device, hospital bed, wheelchair, commode",7.4,n
SUP-0144,Sunrise Therapeutics Co #144,"90289-90300, 90121","commode, back brace, cpm machine, hospital bed, glucose meter",5.8,y
SUP-0145,Central Solutions Network #145,"2308, 10107, 60719","tens unit, back brace",9.2,n
SUP-0146,Prime Prosthetics Co #146,77065-77135,"compression stockings, knee scooter, cpm machine, heating pad, commode, cane, shower chair, crutches, rollator, oxygen",no ratings yet,y
SUP-0147,Regional Mobility Source #147,"2363, 10085, 10209, 10248, 60620, 60714, 77199, 90034, 90089, 90206, 90219, 90232","blood pressure monitor, oxygen, tens unit, glucose meter",no ratings yet,n
SUP-0148,FirstChoice Health Direct #148,"2179-2216, 2272, 90137","knee scooter, ice machine, wheelchair, rollator, cpm machine",7.1,y
SUP-0149,ProCare Supply Center #149,90195-90248,glucose meter,10.0,y
SUP-0150,Allied Services Corp #150,"60885-60895, 77093, 10176, 77196, 90279, 60835","walker, nebulizer, tens unit",6.7,y
SUP-0151,Regional Homecare Group #151,"2133, 2173, 2291, 2331, 2337, 60680, 60707, 60723, 60758, 60874, 77256, 90244","cane, wheelchair, compression stockings",7.1,n
SUP-0152,Life Supply Group #152,60869-60955,"compression stockings, crutches",7.1,n
SUP-0153,Allied Medical Co #153,77252-77275,"crutches, nebulizer, walker, knee scooter, glucose meter, commode, back brace, cpm machine, traction device, patient lift",7.2,n
SUP-0154,Med Devices Depot #154,77077-77159,"cpap, cane, patient lift, ice machine, shower chair, wheelchair, oxygen, hospital bed, knee scooter, nebulizer, rollator, cervical collar",8.3,n
SUP-0155,Sunrise Homecare LLC #155,"77109-77135, 77023","commode, ankle brace",6.9,n
SUP-0156,FirstChoice Solutions Co #156,"2133, 2319, 10146, 10236, 60873, 77107, 77180, 77243, 77281, 90012, 90085, 90159, 90212, 90244","cpm machine, cervical collar, blood pressure monitor",no ratings yet,n
SUP-0157,Sunrise Homecare Network #157,60825-60850,"walker, hospital bed, cpm machine, oxygen",5.1,n
SUP-0158,Pacific Devices Corp #158,00100-99999,"traction device, cpm machine",7.8,n
SUP-0159,Life Wellness Express #159,60693-60777,"blood pressure monitor, nebulizer, heating pad, ice machine, glucose meter",7.7,n
SUP-0160,FirstChoice Solutions Depot #160,"90019-90058, 60647","hospital bed, oxygen",7.5,y
SUP-0161,Vital Wellness Direct #161,"2109, 2224, 2328, 10106, 10269, 60743, 77118, 77248, 77291, 90080, 90085","cane, ankle brace, tens unit, shower chair, cpap",6.9,n
SUP-0162,Metro Prosthetics LLC #162,10079-10152,"oxygen, walker, cpm machine, ice machine, nebulizer, shower chair, cpap, knee scooter, cervical collar, compression stockings, cane, crutches, traction device, blood pressure monitor, back brace",7.2,n
SUP-0163,Central Services Center #163,10145-10193,"traction device, nebulizer, cervical collar, knee scooter, patient lift, walker, heating pad, glucose meter, hospital bed, cpap",9.9,y
SUP-0164,Regional Supply Network #164,10163-10233,"hospital bed, traction device, tens unit, cervical collar, nebulizer, back brace, walker, oxygen, glucose meter",3.9,n
SUP-0165,ProCare Health Express #165,"10074-10110, 10154, 2165","glucose meter, shower chair, hospital bed, tens unit, blood pressure monitor, wheelchair, patient lift, traction device",4.8,n
SUP-0166,Vital Medical Hub #166,"2112, 10186, 10202, 10206, 60616, 60891, 77042, 77167, 77290, 90102, 90206, 90226, 90246","glucose meter, back brace, crutches, heating pad, tens unit, ice machine, cervical collar, cpap, rollator, traction device, wheelchair",4.8,y
SUP-0167,Med Devices Network #167,"2145, 2148, 2156, 2223, 2398, 10020, 10294, 77177, 77195, 77222, 77224, 90111, 90170","patient lift, commode, blood pressure monitor, knee scooter, heating pad, rollator, crutches, ice machine, cpm machine, cpap, oxygen, cervical collar, cane, compression stockings, tens unit, back brace, shower chair, wheelchair, hospital bed, traction device, walker",5.8,n
SUP-0168,Allied Medical Hub #168,"10255-10283, 90048, 60724","shower chair, cpm machine, traction device",10.0,n
SUP-0169,Home Products LLC #169,"10159-10197, 2390","blood pressure monitor, crutches, glucose meter",7.4,n
SUP-0170,Atlantic Therapeutics Express #170,"77132-77172, 60696, 10236, 2163","cpap, traction device, walker, hospital bed, patient lift, heating pad, blood pressure monitor, tens unit, ankle brace, cervical collar, cpm machine, back brace, wheelchair",7.7,n
SUP-0171,Allied Devices Direct #171,60656-60752,"shower chair, patient lift",5.3,n
SUP-0172,ProCare Rehab Source #172,"2212, 10077, 10093, 10200, 10238, 10239, 10287, 60626, 77182","hospital bed, knee scooter, heating pad, patient lift, ice machine, rollator, cervical collar",5.6,n
SUP-0173,FirstChoice Devices Direct #173,"60617-60650, 2112, 2114","heating pad, cane, traction device, wheelchair, patient lift, tens unit, back brace, hospital bed, cpm machine, walker, shower chair, cpap, ice machine, glucose meter, knee scooter, ankle brace, nebulizer, compression stockings, blood pressure monitor, rollator, cervical collar, commode, oxygen, crutches",5.1,n
SUP-0174,Metro Services Center #174,"2310, 10006, 10031, 10053, 10226, 10267, 10270, 10297, 77059, 77215, 77269, 90158","rollator, glucose meter, ankle brace",6.3,y
SUP-0175,Central Therapeutics LLC #175,2330-2386,"knee scooter, oxygen",5.2,n
SUP-0176,QuickMed Solutions Plus #176,10032-10103,"traction device, cane, nebulizer, knee scooter, blood pressure monitor, shower chair, glucose meter, cervical collar, rollator",no ratings yet,n
SUP-0177,Elite Therapeutics Source #177,"2133, 2239, 2290, 2333, 10204, 10235, 60606, 60884, 90044, 90138, 90145, 90242","ice machine, knee scooter, cpap, wheelchair, glucose meter, walker, hospital bed",5.4,y
SUP-0178,Central Services Depot #178,"2175, 10138, 10175, 10187, 90211",cane,6.4,y
SUP-0179,Vital Therapeutics Partners #179,2282-2377,"wheelchair, back brace, crutches, shower chair, traction device, heating pad, cane, oxygen, compression stockings, blood pressure monitor, glucose meter, cpap, patient lift, walker, commode, cpm machine, tens unit",no ratings yet,y
SUP-0180,Metro Ortho Direct #180,90286-90299,"ankle brace, commode, cpm machine, crutches, glucose meter, heating pad, wheelchair, walker",7.6,n
SUP-0181,Regional Health Inc #181,10047-10124,"knee scooter, glucose meter, commode, heating pad, crutches",7.3,y
SUP-0182,Health Equipment Inc #182,10042-10086,"nebulizer, shower chair, knee scooter, ice machine, cpm machine",5.1,n
SUP-0183,Atlantic Mobility LLC #183,"2200, 2283, 10016, 10094, 10113, 60620, 60634, 60812, 77120, 77153, 90019, 90032, 90171","cervical collar, cpm machine, crutches, glucose meter, cane, ankle brace, nebulizer, ice machine, commode, blood pressure monitor, compression stockings, walker, heating pad, shower chair, hospital bed, traction device, patient lift, rollator, tens unit, oxygen, cpap, wheelchair, back brace",8.3,n
SUP-0184,Central Solutions LLC #184,"2146, 10181, 10217, 60744, 60897, 77053, 90070, 90217","oxygen, blood pressure monitor, hospital bed, crutches, wheelchair",5.5,y
SUP-0185,Life Health Express #185,90262-90296,"heating pad, tens unit, cervical collar, cpap, cane, traction device, cpm machine, compression stockings, commode, crutches, blood pressure monitor, hospital bed, glucose meter, back brace, ice machine, walker",5.2,n
SUP-0186,Elite Products Depot #186,"60762-60781, 10140, 2164, 2109, 90098","rollator, back brace, heating pad, oxygen",no ratings yet,n
SUP-0187,Health Medical Partners #187,10047-10135,"knee scooter, rollator, patient lift, wheelchair, back brace",6.2,n
